cd_produto,cd_categoria,nm_produto,ds_produto,vl_preco,qt_estoque,dt_cadastro
31,6,KIT SKINCARE FACIAL,Hidratante sabonete tonico vitamina C tratamento 30 dias,149.9,200,2021-10-12
32,6,SECADOR DE CABELO 2000W,Secador profissional ionico com difusor 2000W,199.9,120,2021-01-07
33,6,PROTETOR SOLAR FPS 60,Protetor solar facial FPS 60 vitamina E 50ml,59.9,300,2021-06-13
34,6,BASE LIQUIDA FACIAL,Base liquida cobertura media acabamento natural 30ml,79.9,250,2022-12-16
35,7,LEGO CLASSIC 500 PCS,Conjunto LEGO Classic construcao livre 500 pecas coloridas,249.9,100,2023-03-09
36,7,BONECA BARBIE PROFISSOES,Boneca Barbie serie profissoes acessorios incluidos,89.9,200,2022-12-15
37,7,CONTROLE PS5 DUALSENSE,Controle sem fio PS5 DualSense gatilhos adaptativos,499.9,80,2022-10-12
38,7,JOGO DE TABULEIRO CATAN,Jogo estrategia Catan base para 3-4 jogadores,149.9,60,2022-06-09
39,8,CAFE ESPECIAL 500G,Cafe torrado e moido especial grau 85+ SCA 500g,49.9,500,2022-08-09
40,8,WHEY PROTEIN CHOCOLATE 900G,Suplemento proteina whey concentrada chocolate 900g,119.9,200,2022-12-11
41,8,AZEITE EXTRAVIRGEM 500ML,Azeite de oliva extravirgem importado acidez 0.3%,39.9,400,2022-04-15
42,8,PASTA DE AMENDOIM 500G,Pasta amendoim natural sem adicao de acucar 500g,29.9,350,2022-04-05
43,9,SUPORTE CELULAR CARRO,Suporte universal celular para painel ventilacao,49.9,300,2022-01-25
44,9,PNEU 205/55 R16,Pneu aro 16 205/55 R16 91V all season,399.9,80,2021-04-10
45,9,CERA AUTOMOTIVA 500ML,Cera carnauba automotiva 500ml protetor brilho,39.9,200,2022-01-03
46,9,GPS AUTOMOTIVO 5 POLEGADAS,GPS veicular tela 5 polegadas mapas Brasil atualizados,299.9,60,2021-12-19
47,10,MOUSE GAMER RGB 16000DPI,Mouse gamer USB RGB 16000 DPI 8 botoes programavel,199.9,150,2023-09-11
48,10,TECLADO MECANICO RGB ABNT2,Teclado mecanico switch azul ABNT2 RGB retroiluminado,349.9,100,2022-09-28
49,10,WEBCAM FULL HD 1080P,Webcam USB Full HD 1080p 30fps microfone integrado,199.9,130,2022-02-14
50,10,PEN DRIVE 128GB USB 3.0,Pen drive 128GB USB 3.0 leitura 100MBs compacto,89.9,250,2023-04-16
